iter	Logloss
0	0.6130559251
1	0.5468338847
2	0.4939402863
3	0.4510518103
4	0.415585328
5	0.3816822338
6	0.3540035468
7	0.3333291858
8	0.3158835751
9	0.2989007697
10	0.2841448938
11	0.274685904
12	0.2638907532
13	0.2566571038
14	0.2485518061
15	0.2415429662
16	0.2379129129
17	0.2314861637
18	0.227594244
19	0.2225330883
20	0.2186600183
21	0.2154013961
22	0.2119705743
23	0.2091487905
24	0.2061271159
25	0.203361898
26	0.2020725483
27	0.199565038
28	0.1973203747
29	0.1957416871
30	0.1939555689
31	0.1923189969
32	0.1909636819
33	0.1899759435
34	0.188577418
35	0.187896075
36	0.1865688908
37	0.1853974909
38	0.1843990005
39	0.1834160633
40	0.1827187616
41	0.1819915033
42	0.1813427542
43	0.180687581
44	0.1798825067
45	0.179195213
46	0.1786094877
47	0.1782629585
48	0.1778111079
49	0.1774076071
50	0.1767594159
51	0.1762221925
52	0.1755684394
53	0.1752224174
54	0.174803989
55	0.1744292614
56	0.1741345138
57	0.1735729295
58	0.1732952058
59	0.1728696602
60	0.1723405514
61	0.1719175586
62	0.1717238721
63	0.1713466763
64	0.1710036634
65	0.1706334496
66	0.1702255195
67	0.1699748446
68	0.1695835327
69	0.1692995708
70	0.1689831672
71	0.1686551495
72	0.1684024797
73	0.1681403597
74	0.1678122744
75	0.1675762565
76	0.1673109921
77	0.1669324101
78	0.1666619388
79	0.1664225736
80	0.1662852163
81	0.1660037395
82	0.16574118
83	0.1655246711
84	0.1653043922
85	0.1650090867
86	0.1647459186
87	0.164562815
88	0.1642971786
89	0.1641140581
90	0.1639753653
91	0.1637882551
92	0.1635080293
93	0.1633336658
94	0.1631964776
95	0.1630883668
96	0.1629407817
97	0.1627568666
98	0.1625838556
99	0.1624713325
100	0.1623213468
101	0.1621783768
102	0.1619561539
103	0.1617852391
104	0.1616576025
105	0.161475733
106	0.1612850557
107	0.1611500483
108	0.1609979156
109	0.1608756887
110	0.1608006282
111	0.1606789592
112	0.1605690227
113	0.1604752985
114	0.1603254311
115	0.1601478387
116	0.159994996
117	0.1598915342
118	0.1597932963
119	0.1597308304
120	0.1596048674
121	0.1595213373
122	0.1594358968
123	0.1593431701
124	0.159230461
125	0.1591403208
126	0.1590569259
127	0.1589196701
128	0.1588361061
129	0.1587671823
130	0.1586589871
131	0.1585400906
132	0.1584626633
133	0.1584090221
134	0.1583504614
135	0.1582820617
136	0.1581995966
137	0.1581315688
138	0.1580682577
139	0.1579872127
140	0.1578973599
141	0.1577927824
142	0.1576810876
143	0.1576169819
144	0.1575475172
145	0.157485643
146	0.1573804569
147	0.1573310421
148	0.1572699455
149	0.1572117737
150	0.1571684279
151	0.1571189286
152	0.1570231589
153	0.156963381
154	0.1569078125
155	0.1568584146
156	0.1567933284
157	0.1567293749
158	0.1566752434
159	0.1566107489
160	0.1565613848
161	0.1565050556
162	0.1564678127
163	0.1563901657
164	0.1563297792
165	0.1562947172
166	0.1562527408
167	0.1562244072
168	0.1561488733
169	0.1561072181
170	0.1560312448
171	0.1560108398
172	0.1559734955
173	0.15592993
174	0.1558464675
175	0.1558049814
176	0.1557758363
177	0.1557158555
178	0.155676939
179	0.1556469486
180	0.1555801211
181	0.1555244175
182	0.1554903022
183	0.1554208881
184	0.1553690051
185	0.1553536549
186	0.1553177307
187	0.1552417742
188	0.1552128996
189	0.1552000176
190	0.1551449225
191	0.1551196826
192	0.1550826426
193	0.1550505052
194	0.1549921474
195	0.1549733316
196	0.1549241872
197	0.1548963777
198	0.1548631752
199	0.1548286542
200	0.154776805
201	0.1547553011
202	0.1547157761
203	0.1546769948
204	0.1546512984
205	0.1546307413
206	0.1545918248
207	0.154544743
208	0.1545303902
209	0.1545069084
210	0.1544848298
211	0.154448128
212	0.1543962619
213	0.1543676577
214	0.154315893
215	0.1542943723
216	0.154275641
217	0.1542493022
218	0.154225364
219	0.1542034376
220	0.154166685
221	0.1541423579
222	0.1541025286
223	0.1540591997
224	0.1540338415
225	0.1540241377
226	0.1540087199
227	0.1539886699
228	0.1539612492
229	0.1539296021
230	0.1539120541
231	0.153883805
232	0.1538520058
233	0.1538358779
234	0.1538025909
235	0.1537871562
236	0.15376053
237	0.1537523985
238	0.1537231688
239	0.1537021046
240	0.1536864163
241	0.1536530617
242	0.153611677
243	0.1535738424
244	0.1535664716
245	0.1535206915
246	0.1535088069
247	0.153488047
248	0.1534658331
249	0.1534506858
250	0.1534371445
251	0.1533983125
252	0.1533751519
253	0.1533550175
254	0.1533159488
255	0.1533080709
256	0.153294276
257	0.1532755277
258	0.1532352588
259	0.1532132647
260	0.1532050149
261	0.1531889884
262	0.1531694287
263	0.1531494802
264	0.1531358037
265	0.1531275031
266	0.1530954502
267	0.15306453
268	0.1530499237
269	0.1530324096
270	0.153006561
271	0.1529705354
272	0.1529555233
273	0.1529427765
274	0.1529102503
275	0.1528733118
276	0.1528580292
277	0.1528164247
278	0.1527983696
279	0.1527661139
280	0.1527473488
281	0.1527193025
282	0.1527023294
283	0.1526886021
284	0.1526689072
285	0.1526588146
286	0.1526403369
287	0.1526277254
288	0.1526130683
289	0.1525833315
290	0.1525728163
291	0.1525428935
292	0.1525269009
293	0.1525098601
294	0.1524836566
295	0.1524616287
296	0.1524514347
297	0.1524467011
298	0.1524283587
299	0.1524164065
300	0.1524001095
301	0.1523852834
302	0.1523709983
303	0.1523443214
304	0.1523359024
305	0.1523298671
306	0.1523155313
307	0.1522956842
308	0.1522725236
309	0.1522518144
310	0.1522406229
311	0.1522206237
312	0.1522089927
313	0.152201419
314	0.1521963643
315	0.1521860688
316	0.1521722739
317	0.1521591722
318	0.1521491979
319	0.1521433317
320	0.1521169253
321	0.1521059536
322	0.1520954046
323	0.1520704858
324	0.1520578743
325	0.1520275966
326	0.152019279
327	0.1520084933
328	0.1520039965
329	0.1519921457
330	0.1519758826
331	0.1519684442
332	0.1519528911
333	0.1519401105
334	0.1519220723
335	0.1519152594
336	0.1519033579
337	0.1519012278
338	0.1518949221
339	0.1518858945
340	0.1518763936
341	0.1518620747
342	0.1518268098
343	0.1518133699
344	0.1518067091
345	0.1518012655
346	0.1517888231
347	0.1517843769
348	0.1517728643
349	0.1517576662
350	0.1517405409
351	0.1517366865
352	0.1517077781
353	0.1517014385
354	0.1516911599
355	0.1516816252
356	0.1516587859
357	0.1516477128
358	0.1516378061
359	0.1516296577
360	0.1516198863
361	0.1516123126
362	0.1515821025
363	0.1515732271
364	0.1515606494
365	0.1515440143
366	0.1515258409
367	0.1515169486
368	0.1515106767
369	0.1514917763
370	0.1514810582
371	0.1514682946
372	0.1514380675
373	0.1514308827
374	0.1514206886
375	0.1514151436
376	0.1513998441
377	0.1513841896
378	0.1513795068
379	0.1513694311
380	0.1513549938
381	0.1513540302
382	0.1513487219
383	0.1513346058
384	0.1513189174
385	0.1513092475
386	0.151293948
387	0.1512812689
388	0.1512729513
389	0.1512720384
390	0.1512699929
391	0.1512652255
392	0.151252614
393	0.1512399349
394	0.1512350999
395	0.1512211529
396	0.1512108236
397	0.1511908244
398	0.1511732764
399	0.1511673933
400	0.1511598197
401	0.1511537337
402	0.1511512824
403	0.1511398542
404	0.1511331258
405	0.1511296771
406	0.1511243519
407	0.1511236249
408	0.1511092384
409	0.1510961366
410	0.1510829503
411	0.1510760697
412	0.1510606012
413	0.1510474318
414	0.1510317266
415	0.1510217861
416	0.1510143477
417	0.1510066388
418	0.1509951938
419	0.1509852533
420	0.1509801648
421	0.1509690071
422	0.1509607403
423	0.1509580354
424	0.1509539443
425	0.1509470469
426	0.150939693
427	0.1509224155
428	0.1509052733
429	0.1509004384
430	0.1508941664
431	0.1508874211
432	0.1508829242
433	0.150875283
434	0.1508741503
435	0.1508615557
436	0.1508453433
437	0.1508295535
438	0.150825716
439	0.1508206443
440	0.15081963
441	0.15081373
442	0.1508057675
443	0.1507928686
444	0.1507844327
445	0.1507727172
446	0.1507644166
447	0.1507522446
448	0.1507490833
449	0.1507436735
450	0.1507318228
451	0.1507174362
452	0.1507156273
453	0.1507036582
454	0.1506753922
455	0.1506579795
456	0.1506553422
457	0.1506498648
458	0.1506386565
459	0.1506364757
460	0.1506239318
461	0.1506022251
462	0.1506003993
463	0.1505916253
464	0.1505874159
465	0.1505845419
466	0.1505743479
467	0.1505735195
468	0.1505658106
469	0.150555904
470	0.1505487361
471	0.1505456254
472	0.1505353807
473	0.1505285509
474	0.1504874029
475	0.1504800659
476	0.1504689758
477	0.1504644452
478	0.1504602357
479	0.1504434485
480	0.1504303129
481	0.1504167716
482	0.1504075581
483	0.1504009481
484	0.1503934589
485	0.1503867643
486	0.150378768
487	0.1503736964
488	0.1503721749
489	0.1503663932
490	0.1503516854
491	0.1503436553
492	0.1503363014
493	0.1503213231
494	0.1503170629
495	0.1503045021
496	0.1503027439
497	0.1502919413
498	0.1502904198
499	0.1502780788
500	0.1502746301
501	0.1502710799
502	0.1502643177
503	0.1502585529
504	0.1502468036
505	0.1502373027
506	0.1502220708
507	0.150213449
508	0.1502023083
509	0.1501938386
510	0.1501922495
511	0.1501767302
512	0.1501667391
513	0.1501647104
514	0.15015619
515	0.1501445421
516	0.1501344834
517	0.1501246613
518	0.1501131655
519	0.1501087025
520	0.1501006892
521	0.1500916448
522	0.1500831751
523	0.1500813155
524	0.1500747055
525	0.1500741983
526	0.1500718484
527	0.1500658808
528	0.1500608768
529	0.150001082
530	0.149993373
531	0.1499872532
532	0.1499787498
533	0.1499641772
534	0.1499564176
535	0.1499519207
536	0.1499437385
537	0.1499401545
538	0.1499328344
539	0.1499259369
540	0.1499179237
541	0.1499050248
542	0.1498870374
543	0.1498758966
544	0.1498633189
545	0.1498611212
546	0.1498482392
547	0.1498313168
548	0.1498302179
549	0.1498247913
550	0.149814462
551	0.1498125348
552	0.1498069221
553	0.1498023915
554	0.149796745
555	0.1497882077
556	0.1497710148
557	0.1497665856
558	0.1497562225
559	0.1497499506
560	0.1497449803
561	0.1497358683
562	0.1497100874
563	0.1497077882
564	0.1497008908
565	0.1496916772
566	0.1496857434
567	0.1496781866
568	0.1496663697
569	0.1496575788
570	0.1496530143
571	0.1496357538
572	0.1496293128
573	0.1496257796
574	0.1496239707
575	0.1496218744
576	0.1496091445
577	0.1496029402
578	0.1495939972
579	0.1495918502
580	0.1495784441
581	0.1495582927
582	0.1495525787
583	0.1495287588
584	0.1495183281
585	0.1495145582
586	0.1495136622
587	0.1495094527
588	0.1495060716
589	0.1494887097
590	0.1494779408
591	0.1494693697
592	0.1494659548
593	0.1494579416
594	0.1494542224
595	0.1494535631
596	0.1494416954
597	0.1494380438
598	0.1494267171
599	0.1494203776
600	0.149406346
601	0.1493869385
602	0.1493814442
603	0.1493765247
604	0.1493734141
605	0.1493518257
606	0.1493456552
607	0.1493414457
608	0.1493339904
609	0.1493274141
610	0.1493207703
611	0.1493197221
612	0.1493146505
613	0.1493083447
614	0.1493050143
615	0.1492984043
616	0.1492772048
617	0.1492599442
618	0.1492543654
619	0.149249784
620	0.1492316613
621	0.1492219068
622	0.1492166154
623	0.1492072667
624	0.1492031079
625	0.1492027867
626	0.1491972417
627	0.1491954328
628	0.1491895835
629	0.1491860164
630	0.1491666765
631	0.149163735
632	0.1491533719
633	0.1491526957
634	0.1491469816
635	0.1491451389
636	0.1491385965
637	0.1491298056
638	0.1491076087
639	0.1491038218
640	0.1490991052
641	0.1490876094
642	0.1490843467
643	0.1490810332
644	0.1490737469
645	0.1490699601
646	0.1490617271
647	0.1490594449
648	0.1490585827
649	0.1490487268
650	0.1490446187
651	0.1490418293
652	0.1490209341
653	0.1490145776
654	0.1490060911
655	0.1489991598
656	0.1489965225
657	0.1489912311
658	0.1489806314
659	0.148966194
660	0.1489648416
661	0.1489547997
662	0.1489442676
663	0.1489323323
664	0.1489285455
665	0.1489269225
666	0.1489144801
667	0.1489069402
668	0.1489030012
669	0.148896594
670	0.148887837
671	0.1488875327
672	0.1488845235
673	0.1488836951
674	0.1488703567
675	0.1488677701
676	0.1488571028
677	0.148844542
678	0.1488366978
679	0.1488347537
680	0.148831305
681	0.1488178482
682	0.1488126244
683	0.1488060481
684	0.1488021937
685	0.1488005707
686	0.1487921011
687	0.1487918813
688	0.148784781
689	0.1487843414
690	0.1487826002
691	0.1487594565
692	0.1487479608
693	0.1487405223
694	0.1487347238
695	0.1487281306
696	0.1487216727
697	0.148719475
698	0.1487165334
699	0.1487100755
700	0.148705697
701	0.1486988672
702	0.1486938631
703	0.1486911413
704	0.1486904144
705	0.1486841256
706	0.1486773464
707	0.1486687246
708	0.1486618779
709	0.1486551833
710	0.1486550819
711	0.1486493171
712	0.1486414729
713	0.1486290136
714	0.1486226909
715	0.1486164866
716	0.1486119897
717	0.1486089298
718	0.1486055825
719	0.1485998685
720	0.1485925315
721	0.1485885249
722	0.1485856847
723	0.1485651615
724	0.1485618311
725	0.1485495239
726	0.1485367602
727	0.1485299473
728	0.1485112329
729	0.1485077334
730	0.1485077334
731	0.1485028477
732	0.148500295
733	0.1484962377
734	0.1484849786
735	0.1484810734
736	0.1484747677
737	0.1484612602
738	0.1484463157
739	0.1484399423
740	0.1484326053
741	0.1484289706
742	0.1484258938
743	0.1484186245
744	0.1484136542
745	0.1484066216
746	0.1483993691
747	0.1483978307
748	0.148383816
749	0.1483745011
750	0.1483657778
751	0.1483602497
752	0.1483576632
753	0.1483485511
754	0.1483339109
755	0.1483275883
756	0.148313675
757	0.1483074031
758	0.1483044446
759	0.1483017228
760	0.1482971922
761	0.1482900918
762	0.1482885873
763	0.1482847666
764	0.1482790525
765	0.1482681485
766	0.1482609298
767	0.1482529335
768	0.14824962
769	0.1482418266
770	0.1482289784
771	0.1482274738
772	0.1482274062
773	0.14822673
774	0.1482244646
775	0.1482153019
776	0.1482128844
777	0.1482106867
778	0.1482091313
779	0.148203654
780	0.1482002898
781	0.1481968072
782	0.1481967903
783	0.1481874078
784	0.1481871711
785	0.1481838238
786	0.1481835195
787	0.148174661
788	0.1481673916
789	0.1481645853
790	0.1481638922
791	0.1481617959
792	0.1481570962
793	0.1481518386
794	0.1481483729
795	0.148146936
796	0.1481363193
797	0.14813047
798	0.1481238092
799	0.1481194476
800	0.1481099467
801	0.1481053315
802	0.1481004796
803	0.1480994991
804	0.1480961349
805	0.1480902349
806	0.1480826105
807	0.1480743944
808	0.1480702695
809	0.1480636932
810	0.1480516396
811	0.148049239
812	0.1480451141
813	0.1480369994
814	0.1480355455
815	0.1480326209
816	0.1480265856
817	0.1480212435
818	0.1480084798
819	0.1480041351
820	0.1480016162
821	0.1479940594
822	0.1479940256
823	0.1479876691
824	0.1479774413
825	0.1479752943
826	0.1479680587
827	0.1479577971
828	0.1479485329
829	0.1479476369
830	0.1479348056
831	0.1479328953
832	0.1479239353
833	0.1479214333
834	0.1479206049
835	0.1479148571
836	0.1479106307
837	0.1479049335
838	0.1478982051
839	0.1478947733
840	0.1478861684
841	0.1478786455
842	0.1478740641
843	0.1478644786
844	0.1478554342
845	0.1478503963
846	0.1478321215
847	0.147819679
848	0.1478151145
849	0.1478072028
850	0.1478029257
851	0.1478005251
852	0.147798936
853	0.1477983274
854	0.1477938643
855	0.1477918187
856	0.1477876093
857	0.1477876431
858	0.1477817092
859	0.1477773138
860	0.147771194
861	0.1477632991
862	0.1477592249
863	0.1477536461
